Snapshots,eval_dataset,Cost_time,Num,Vis,AUC,Mean,Median,,Thresholds,0,1.578947368,3.157894737,4.736842105,6.315789474,7.894736842,9.473684211,11.05263158,12.63157895,14.21052632,15.78947368,17.36842105,18.94736842,20.52631579,22.10526316,23.68421053,25.26315789,26.84210526,28.42105263,30
RESULT_OF_0720_n7_STB_320_c1.2_b16_aTrue_vTrue_i3.0w,STB_320,83.09081578,3000,all,0.884,3.471,3.137,,,0.002095238,0.170412698,0.485873016,0.766285714,0.916126984,0.970238095,0.988920635,0.994857143,0.997666667,0.998809524,0.999253968,0.999444444,0.999619048,0.999666667,0.999714286,0.999714286,0.999746032,0.999746032,0.999825397,0.999825397
RESULT_OF_0720_n6_RS_320_c1.2_b8_aFalse_vTrue_i5.0w,RS_320,153.4700003,5728,all,0.851,5.361,3.221,,,0.001247007,0.219797486,0.501537976,0.701973597,0.819865656,0.88254855,0.916999202,0.936153232,0.948257515,0.956878492,0.963005454,0.967926975,0.971709564,0.975001663,0.977470737,0.979756917,0.981619114,0.983672519,0.985094107,0.986507382
,RS_320,153.4700003,5728,part,0.853,4.547,3.207,,,0.001194653,0.220536562,0.503531873,0.704796452,0.823080966,0.885824441,0.920111772,0.939086267,0.951089726,0.959535636,0.965512999,0.97030083,0.973950527,0.97718161,0.979550105,0.981751446,0.983518097,0.985435133,0.986816192,0.988172208
RESULT_OF_0721_n1_STB_320_c1.2_b32_aTrue_vTrue_i3.0w,STB_320,82.37265825,3000,all,0.887,3.361,3.04,,,0.002111111,0.17784127,0.505349206,0.786634921,0.927698413,0.976539683,0.991634921,0.996063492,0.997793651,0.998809524,0.999269841,0.999539683,0.999666667,0.999746032,0.999777778,0.999809524,0.999825397,0.999825397,0.99984127,0.999857143
RESULT_OF_0720_n8_RS_320_c1.2_b16_aTrue_vTrue_i4.0w,RS_320,155.2127061,5728,all,0.827,6.162,3.99,,,0.000781458,0.151045823,0.390296621,0.590491155,0.738461027,0.835195531,0.890604217,0.922910016,0.942604416,0.954617252,0.962839186,0.968409151,0.972557529,0.976123969,0.978759311,0.981111998,0.98313215,0.984703379,0.98603352,0.987471735
,RS_320,155.2127061,5728,part,0.829,5.291,3.974,,,0.000785297,0.151696159,0.392065659,0.593148434,0.741704258,0.838599975,0.89399241,0.926175517,0.945709668,0.957599878,0.96567543,0.971021652,0.975089667,0.978495296,0.98103103,0.983274484,0.985249299,0.986721548,0.987993965,0.989324277
RESULT_OF_0721_n2_RS_320_c1.2_b32_aTrue_vTrue_i4.0w,RS_320,154.8815796,5728,all,0.848,5.499,3.242,,,0.001005919,0.180824355,0.466089718,0.689146049,0.823390529,0.889939146,0.923167731,0.940384743,0.951200452,0.958557795,0.964227521,0.968525539,0.972316441,0.975400705,0.977828212,0.979948125,0.98205141,0.984096502,0.985609537,0.98721402
,RS_320,154.8815796,5728,part,0.85,4.622,3.229,,,0.00101086,0.181675262,0.468290441,0.692328361,0.826981187,0.893589681,0.926721153,0.943761318,0.954477538,0.96160846,0.967123251,0.971267228,0.974933185,0.977930148,0.980283269,0.982317722,0.984334788,0.986226755,0.987649838,0.98911412
RESULT_OF_0721_n3_RHD_c1.2_b8_aTrue_vFalse_i3.0w,RHD,77.26573086,2728,all,0.805,8.003,3.366,,,1.75E-05,0.193583298,0.472507331,0.652894149,0.747381651,0.80388563,0.839250803,0.86578341,0.884321324,0.898530233,0.910225527,0.920890937,0.929095098,0.937002514,0.94321673,0.948697808,0.953410836,0.957844575,0.961911744,0.96587418
,RHD,77.26573086,2728,part,0.812,6.007,3.325,,,1.76E-05,0.195790858,0.478020166,0.660359482,0.75565262,0.812468291,0.847854767,0.87423104,0.892544905,0.906629956,0.91813295,0.928523366,0.936454801,0.944224853,0.950070918,0.955395586,0.959961363,0.964280845,0.968142438,0.972034902
RESULT_OF_0721_n4_RHD_c1.2_b8_aTrue_vFalse_i5.0w,RHD,75.74635363,2728,all,0.817,7.611,3.183,,,0,0.207425639,0.498306801,0.677611367,0.770074012,0.824238933,0.857020668,0.879922497,0.897709817,0.910801564,0.921571708,0.929775869,0.937124703,0.943775311,0.949396034,0.953690127,0.957931853,0.961981567,0.965769446,0.968789275
,RHD,75.74635363,2728,part,0.824,5.612,3.144,,,0,0.209912077,0.504169858,0.685263616,0.778496469,0.832990429,0.86580469,0.888582263,0.90607903,0.918869787,0.929509695,0.937477255,0.944634294,0.951114728,0.95652895,0.960551865,0.964655595,0.968571109,0.972183121,0.975052299
RESULT_OF_0722_n1_RHD_c1.2_b16_aTrue_vFalse_i3.0w,RHD,72.96208906,2728,all,0.824,7.416,3.051,,,3.49E-05,0.218876554,0.517979332,0.696498394,0.785434995,0.83680701,0.867528976,0.888179025,0.903889122,0.915776428,0.925516688,0.934209608,0.940633291,0.946585672,0.951700182,0.955994275,0.9600789,0.963325653,0.966467672,0.969190755
,RHD,72.96208906,2728,part,0.831,5.413,3.016,,,3.53E-05,0.221451717,0.524041039,0.704416125,0.79393729,0.845603618,0.876277974,0.896770735,0.912402073,0.92403859,0.9336049,0.942030522,0.948296235,0.953860384,0.958781237,0.962852502,0.966619525,0.969718427,0.972636023,0.975168159
RESULT_OF_0722_n2_RHD_c1.2_b16_aTrue_vFalse_i5.0w,RHD,73.13424921,2728,all,0.825,7.363,2.948,,,0,0.231601732,0.537896244,0.708246055,0.789589443,0.834537774,0.863793465,0.884024578,0.900240888,0.912843877,0.923003072,0.93098031,0.93770074,0.943530931,0.948575618,0.952956989,0.957443095,0.961580087,0.965280687,0.968806731
,RHD,73.13424921,2728,part,0.832,5.363,2.911,,,0,0.234243317,0.544184372,0.716293703,0.798361542,0.843497104,0.872736208,0.892838256,0.908986605,0.921330504,0.931247778,0.93896961,0.945450282,0.951116608,0.955848472,0.960049821,0.964373066,0.968267244,0.971739265,0.974996153
RESULT_OF_0720_n3_RHD_c1.2_b8_aTrue_vTrue_i3.0w,RHD,134.2282801,2728,all,0.806,7.881,3.397,,,0,0.187735651,0.46655495,0.651148583,0.749249407,0.807498953,0.844225667,0.868750873,0.886730205,0.901166038,0.912355118,0.9221652,0.930491551,0.937543639,0.943565843,0.949396034,0.954650189,0.95890937,0.963063818,0.96667714
,RHD,134.2282801,2728,part,0.812,6.068,3.358,,,0,0.189727395,0.471518674,0.657799539,0.756404515,0.814679755,0.851316318,0.875465127,0.893185411,0.9073527,0.918219008,0.927797726,0.935763126,0.942685236,0.948440663,0.95410417,0.959219362,0.963332052,0.967367526,0.970872278
